Index,country,year,Lnrgdpo,Lnlabor_stock,Lncapital_stock,RL,GS,RE,MO,LnRL,LnGS,LnRE,LnMO
353,Lithuania,2013,11.2557449136913,8.97716832932427,12.5737451979513,54,73.2,73.3333333333333,82.2666666666667,3.98898404656427,4.29319542096727,4.29501525768425,4.40996600336312
354,Lithuania,2014,11.2886972435828,8.99394152904585,12.5932531966517,54.95,74.4,74.4333333333333,82.6,4.00642368084963,4.30945594183905,4.309903870178,4.41400968052693
355,Lithuania,2015,11.2852270246311,9.02295032834949,12.6142855725527,58.5,77.1,76.0333333333334,82.6666666666667,4.06902675423781,4.34510328056928,4.33117184062223,4.41481645749687
356,Lithuania,2016,11.3041568089364,9.06120662036834,12.6350492793547,61.5,78.35,74.8666666666667,82.6666666666667,4.11903717481247,4.36118596880203,4.31570875363623,4.41481645749687
357,Lithuania,2017,11.3490721897467,9.0353664794458,12.6584691816271,68.3666666666667,81.5333333333333,77.5666666666667,75.6666666666667,4.22488537641023,4.40101193458496,4.35113778164014,4.32633772881329
358,Lithuania,2018,11.3692762738992,9.05237757243762,12.6852875444021,63.8,82.3333333333333,75.9333333333333,78.9666666666667,4.15575319035074,4.41077604795987,4.32985576234497,4.36902582249663
359,Lithuania,2019,11.4035812436333,9.05693453631612,12.7133581982934,60.8666666666667,82.9333333333333,74.4666666666667,78.6666666666667,4.10868567949276,4.41803707219691,4.31035159796699,4.3652195163575
360,Luxembourg,2000,10.2763724339101,7.09845406938987,11.6883376322782,88.5,59.3,86.65,73,4.48300255201388,4.08260930600368,4.46187701616162,4.29045944114839
361,Luxembourg,2001,10.2149389837667,7.14945341728913,11.7208678914597,89,55.7,86.8,86,4.48863636973214,4.01998014693324,4.46360662166631,4.45434729625351
362,Luxembourg,2002,10.1880936098379,7.18064610270164,11.7484359796186,88,54.4,85.1,86.5333333333334,4.47733681447821,3.9963641538619,4.44382703557933,4.46052969616183
363,Luxembourg,2003,10.1596574914316,7.20211156533999,11.7877437780589,88.5,55.65,84.85,87.1333333333333,4.48300255201388,4.01908207772155,4.44088499168024,4.46743951252201
364,Luxembourg,2004,10.0861436074158,7.22888270400462,11.8228123114537,90,50.15,85.15,86.6,4.49980967033027,3.91501851440794,4.4444144071087,4.46129981556839
365,Luxembourg,2005,10.317697064061,7.24460977897387,11.8716338522714,88.5,51.65,74.1,86.7333333333333,4.48300255201388,3.94449019556565,4.30541553230204,4.4628382774103
366,Luxembourg,2006,10.3146116832328,7.29720701676941,11.9050744134881,87,51.25,71.3333333333333,87.4666666666667,4.46590811865458,3.93671561801852,4.26736372635374,4.47125776840182
367,Luxembourg,2007,10.3866875390581,7.36619106367809,11.942829169663,87.5,54.65,68.3,85.5333333333334,4.47163879336357,4.00094921462255,4.22390976657674,4.44890616351343
368,Luxembourg,2008,10.3800728684404,7.42974280097019,11.9860843162699,88,55.098,68.1553420466667,85.3333333333333,4.47733681447821,4.00911341785944,4.22178954166866,4.44656515581145
369,Luxembourg,2009,10.3118275606147,7.42409118864251,12.0107066930041,87,60.3526375,67.1461921833333,85.2666666666667,4.46590811865458,4.10020464998543,4.20687221523084,4.44578360047663
370,Luxembourg,2010,10.4465917671578,7.45910536207953,12.0410290199587,86.5,62.2,64.8,87.5,4.46014441393783,4.13035499974513,4.17130560335823,4.47163879336357
371,Luxembourg,2011,10.4542494161575,7.50043512646946,12.0801689162646,86,62.6,67.5333333333333,87.5333333333334,4.45434729625351,4.13676527810605,4.21262130314647,4.47201967320059
372,Luxembourg,2012,10.5050613323595,7.53120728006861,12.1170918509666,87.5,55.1,66.0333333333334,87.3666666666667,4.47163879336357,4.00914971615887,4.1901596650364,4.47011382166125
373,Luxembourg,2013,10.4832723440961,7.55809763003408,12.151176818632,87.5,56.05,64.3666666666667,87.2666666666667,4.47163879336357,4.02624414951817,4.16459590076636,4.46896856480769
374,Luxembourg,2014,10.6556393853819,7.59781378772418,12.1884302058453,87.05,55.2,64.8666666666667,87.6,4.4664826662142,4.01096295328305,4.1723338810838,4.47278099794235
375,Luxembourg,2015,10.7512746626408,7.64051263185256,12.2185857111991,85,52.25,64.7,87.6666666666667,4.44265125649032,3.95603989084492,4.16976120150686,4.47354174350966
376,Luxembourg,2016,10.822088738255,7.68164493950557,12.2496296866542,86,52.05,66.5,87.6666666666667,4.45434729625351,3.95220479506098,4.19720194766181,4.47354174350966
377,Luxembourg,2017,10.8897817284301,7.72527098078113,12.280294098822,80.3666666666667,69.8333333333333,66.2,87.3333333333333,4.38659949651902,4.24611145069408,4.19268046294296,4.46973221509299
378,Luxembourg,2018,10.8881575405905,7.77798785861809,12.3065503712484,79.8666666666667,70.8666666666667,67.6666666666667,87.3,4.38035857757319,4.26080017723974,4.21459369037368,4.46935046284556
379,Luxembourg,2019,10.9279291767809,7.82820576110476,12.3346322413982,80.4,70.3,65.7666666666667,87,4.38701417618492,4.25277179881662,4.18611312436046,4.46590811865458
380,Malta,2000,9.21529127957616,6.8285623163628,10.166431106186,50,50.3,71.45,60.3333333333333,3.91202300542815,3.91800507710569,4.26899790437588,4.09988474259772
381,Malta,2001,9.10157715528914,6.81233233953057,10.2122784210477,60,53.8,72.25,64.5333333333333,4.0943445622221,3.98527346716774,4.28013232699254,4.16718188617437
382,Malta,2002,9.12609657505362,6.84852496572627,10.2418600846645,60,47.75,74.55,65.1333333333333,4.0943445622221,3.86597906692674,4.31147004121075,4.17643645094057
383,Malta,2003,9.17662411428553,6.84080184605247,10.2966030923103,60,50.15,82.4,55,4.0943445622221,3.91501851440794,4.41158543691543,4.00733318523247
384,Malta,2004,9.12194398089947,6.80439351346677,10.34679529036,70,37.3,84.8,61.8,4.24849524204936,3.61899332664977,4.44029554279786,4.12390336446365
385,Malta,2005,9.24407836535506,6.85521895863638,10.4071107861122,70,51.25,76.9,71.9333333333333,4.24849524204936,3.93671561801852,4.3425058765116,4.27573976415592
386,Malta,2006,9.22838814776756,6.87834998884771,10.4636270901258,79,48.8,71.6666666666667,67.4666666666667,4.36944785246702,3.8877303128591,4.27202573945955,4.2116336487452
387,Malta,2007,9.27932134235065,6.90193066464992,10.5198025563632,78,44.4,70,68.8666666666667,4.35670882668959,3.79323946943818,4.24849524204936,4.23217226801743
388,Malta,2008,9.27811574479983,6.93461010676914,10.5607324223687,77,45.21415,69.9411972866667,68.6666666666667,4.34380542185368,3.81141009094463,4.24765485025717,4.22926388012147
389,Malta,2009,9.27439815624041,6.9405633381969,10.5879519103867,74,52.38265,70.9075125533333,65.2666666666667,4.30406509320417,3.95857542962878,4.26137638777429,4.1784814414283
390,Malta,2010,9.32058552039863,6.93775539498897,10.6305883101442,69,54.05,69.3666666666667,72.5,4.23410650459726,3.98990954408522,4.23940644473148,4.28358656186063
391,Malta,2011,9.37960620663243,6.94630541072446,10.6537743446744,61,51.15,70.0333333333333,74.2,4.11087386417331,3.93476249239764,4.24897131918285,4.30676415017333
392,Malta,2012,9.40697935369072,6.96359706060348,10.676598125728,63,55.8,70.1666666666667,74.0333333333333,4.14313472639153,4.02177386938727,4.25087336445433,4.30451544223227
393,Malta,2013,9.38287024988186,6.99046256263041,10.6981975610102,65.5,52.65,68.9666666666667,77.2666666666667,4.18205014264121,3.96366623857998,4.23362329608339,4.34726264223754
394,Malta,2014,9.42257802900062,7.01529916168317,10.7226142519247,65.4,55.45,64.9,75.9333333333333,4.18052225846315,4.01548171379638,4.17284762371004,4.32985576234497
395,Malta,2015,9.5926316728349,7.03971231978605,10.7834962387334,65.5,53.75,66.1333333333333,76,4.18205014264121,3.98434366700777,4.19167290618266,4.33073334028633
396,Malta,2016,9.61058726646273,7.09738237304149,10.8328440502392,62.5,55.2,66.2,77.6666666666667,4.13516655674236,4.01096295328305,4.19268046294296,4.35242616489759
397,Malta,2017,9.64180656044427,7.11222109184365,10.8695228718498,61.4,64.2666666666667,67.7333333333333,77.3333333333333,4.1174098351531,4.16304109350834,4.21557842703622,4.3481250829982
398,Malta,2018,9.74070572083554,7.1529952195224,10.9031907404809,60.2666666666667,68.5666666666667,67.9666666666667,77.3,4.09877915928997,4.2278065079908,4.2190173889123,4.34769395559338
399,Malta,2019,9.74887307702123,7.19610766590546,10.939184909322,56.8333333333333,71.6,68.8666666666667,77,4.04012300805546,4.2710950739666,4.23217226801743,4.34380542185368
400,Netherlands,2000,13.427964779124,10.5385524559894,14.9430973572442,90,32.45,75.45,79.2666666666667,4.49980967033027,3.4797004431501,4.32347018521386,4.37281769558857
401,Netherlands,2001,13.4412441991249,10.5537148768137,14.9680718138529,90,31.7,77.85,86,4.49980967033027,3.45631668088324,4.35478389828001,4.45434729625351
402,Netherlands,2002,13.4452274595204,10.5519749900807,14.988503822753,89.5,41.45,77.3,86.5333333333334,4.49423862528081,3.7244878815813,4.34769395559338,4.46052969616183
403,Netherlands,2003,13.4467501097754,10.5453054050158,15.0067899515416,89,39.75,76.4,87.1333333333333,4.48863636973214,3.68260984110034,4.33598269617248,4.46743951252201
404,Netherlands,2004,13.4661387914996,10.5536976129654,15.0241338234424,90,38.75,76.6,86.6,4.49980967033027,3.65713075579936,4.33859707674655,4.46129981556839
405,Netherlands,2005,13.5936777878259,10.5569651896858,15.0421949618121,89.5,36.85,72.1,86.7333333333333,4.49423862528081,3.60685561863535,4.2780540442909,4.4628382774103
406,Netherlands,2006,13.6195559672328,10.5830692050591,15.0627800254132,88.5,38.55,79,87.4666666666667,4.48300255201388,3.65195610000934,4.36944785246702,4.47125776840182
407,Netherlands,2007,13.6866680837315,10.6170768653463,15.0896473165735,88,41.85,79.4333333333333,85.5333333333334,4.47733681447821,3.73409179693548,4.37491809543659,4.44890616351343
408,Netherlands,2008,13.7270469679326,10.6366493029623,15.1120868995862,88.5,44.8864,80.2556520266667,88.6666666666667,4.48300255201388,3.80413485354322,4.38521718976887,4.48488402011359
409,Netherlands,2009,13.6395105033064,10.6244775856195,15.1282605510425,90,43.54935,78.9512595533333,88.6,4.49980967033027,3.77389477781399,4.36883069438482,4.48413185761104
410,Netherlands,2010,13.6451746109227,10.6196442104907,15.1402842870891,89.5,45.2,74.2333333333333,85.8333333333333,4.49423862528081,3.81109708683819,4.30721328559521,4.45240743143568
411,Netherlands,2011,13.6687434585444,10.6314908542417,15.1536759720102,89.5,43.7,74.3,85.8666666666667,4.49423862528081,3.77734810210154,4.30811095172371,4.45279570556209
412,Netherlands,2012,13.6924290178044,10.6263211196068,15.1627819721474,89,36.05,75.1666666666667,85.7,4.48863636973214,3.58490686373096,4.31970787027462,4.45085282560373
413,Netherlands,2013,13.7382181169213,10.6217701270929,15.1704688466713,89.5,38.4,74.2333333333333,85.6,4.49423862528081,3.64805745959368,4.30721328559521,4.4496852831477
414,Netherlands,2014,13.6903004472406,10.6320325773748,15.176627549487,89,38.65,76.4,85.9333333333333,4.48863636973214,3.65454677503343,4.33598269617248,4.45357180183698
