"Model","FittedValues","Residuals"
"Pooled",12.7539488018624,-0.373557304158759
"Pooled",12.7389181008483,-0.313663929973272
"Pooled",12.7252087172046,-0.271903992631451
"Pooled",12.7461967657931,-0.20668124431054
"Pooled",12.8093313912281,-0.247355536970193
"Pooled",12.8424428929309,-0.195563635262691
"Pooled",12.8911738268923,-0.193137136567222
"Pooled",12.9100519183304,-0.252173028691545
"Pooled",12.8817988517767,-0.209176778077836
"Pooled",12.8579859728155,-0.154622037056711
"Pooled",12.8584707310139,-0.159415678039006
"Pooled",12.8465534754043,-0.159965069075171
"Pooled",12.8601790336604,-0.128784932200599
"Pooled",12.9111510428205,-0.153613955779917
"Pooled",12.9626746119598,-0.18193466582816
"Pooled",12.9650128989286,-0.120777133548452
"Pooled",12.979757292519,-0.101518138910409
"Pooled",12.9647055868515,-0.062808800144818
"Pooled",12.3707453146053,-0.1657642802909
"Pooled",12.3920386571599,-0.187615496281919
"Pooled",12.3867860498664,-0.185028089843796
"Pooled",12.3488730977197,-0.12801490843083
"Pooled",12.3646814401848,-0.0922755714820734
"Pooled",12.3738814981639,-0.0137860381237428
"Pooled",12.4104160161532,-0.0107481016057336
"Pooled",12.4251442057178,0.00369629556182288
"Pooled",12.4412841201054,0.0481204857813491
"Pooled",12.4499053774652,-0.00384761185619467
"Pooled",12.4250595103528,0.0863262461955644
"Pooled",12.440661063456,0.0925559625913547
"Pooled",12.4159647974376,0.110368014805184
"Pooled",12.4421564069801,0.0657222762396718
"Pooled",12.4396486346564,0.0705779169246934
"Pooled",12.4633538644633,0.0434626367374871
"Pooled",12.5026807989948,0.0379222436489331
"Pooled",12.4054089927131,0.193366839586609
"Pooled",12.4762505619575,0.131006270767238
"Pooled",12.4858751075796,0.164363993595793
"Pooled",10.3164155204341,-0.507065563963059
"Pooled",10.3748518243377,-0.514506460775277
"Pooled",10.3621449895949,-0.439324340164751
"Pooled",10.3995084200075,-0.411897045759161
"Pooled",10.4271352515776,-0.394616100380131
"Pooled",10.5085054795507,-0.286245425685897
"Pooled",10.5985341483862,-0.298163192440221
"Pooled",10.7867282081582,-0.374633193283192
"Pooled",10.8166730311806,-0.388213474359416
"Pooled",10.7178377319058,-0.405230883549485
"Pooled",10.6480024279113,-0.281615953708387
"Pooled",10.6906506562657,-0.214609276141378
"Pooled",10.6894512941057,-0.159650840384704
"Pooled",10.7517046174309,-0.213635135192151
"Pooled",10.8021094722127,-0.244355260141769
"Pooled",10.842125620869,-0.309791520541499
"Pooled",10.8682278914484,-0.307225092321631
"Pooled",10.9091978537545,-0.290879508468955
"Pooled",10.9376529299256,-0.275585574786881
"Pooled",10.9258649590988,-0.214198802422156
"Pooled",12.2448409833722,-0.108623299572013
"Pooled",12.3246383781705,-0.1811986539205
"Pooled",12.3263225427197,-0.187140348614836
"Pooled",12.3311138506326,-0.172971001213396
"Pooled",12.3344105816116,-0.130286160764293
"Pooled",12.389045598237,-0.119198444055609
"Pooled",12.4056354517615,-0.114990827938149
"Pooled",12.4247002693595,-0.0501380075348949
"Pooled",12.4595795282141,-0.0473946697367774
"Pooled",12.4676990173961,-0.142305907547821
"Pooled",12.4351961515044,-0.075364733289732
"Pooled",12.4370020356821,-0.058750897626856
"Pooled",12.4440483303856,-0.0750087151176697
"Pooled",12.4644299542292,-0.139152229071099
"Pooled",12.4611319322929,-0.138666939888066
"Pooled",12.4282547770891,-0.0896356965020715
"Pooled",12.4421508177465,-0.0787355385268875
"Pooled",12.4645594963954,-0.0697372353589459
"Pooled",12.490979834117,-0.0856806319823261
"Pooled",12.5274498406917,-0.104044305591383
"Pooled",14.4818091319446,0.0892200547473387
"Pooled",14.49205119758,0.105371826852551
"Pooled",14.5024651397692,0.100261895345791
"Pooled",14.5122514212305,0.0659947613921012
"Pooled",14.5051836469145,0.093359698623334
"Pooled",14.5826849675226,0.0968106208803277
"Pooled",14.59427179798,0.110205775949482
"Pooled",14.6545170140533,0.0956261307904228
"Pooled",14.6638452302497,0.095016306144769
"Pooled",14.6684644437977,0.0583313393683198
"Pooled",14.7202293741909,0.0475599091888008
"Pooled",14.7351245438882,0.0609154408943451
