Index,country,year,Lnrgdpo,Lnlabor_stock,Lncapital_stock,RL,GS,RE,MO,LnRL,LnGS,LnRE,LnMO,d_Lnrgdpo,d_Lnlabor_stock,d_Lncapital_stock,d_RL,d_GS,d_RE,d_MO
390,Malta,2010,9.32058552039863,6.93775539498897,10.6305883101442,69.0,54.05,69.3666666666667,72.5,4.23410650459726,3.98990954408522,4.23940644473148,4.28358656186063,0.04618736415821978,-0.002807943207930208,0.04263639975749989,-5.0,1.667349999999999,-1.5408458866666024,7.233333333333306
391,Malta,2011,9.37960620663243,6.94630541072446,10.6537743446744,61.0,51.15,70.0333333333333,74.2,4.11087386417331,3.93476249239764,4.24897131918285,4.30676415017333,0.05902068623379897,0.008550015735490746,0.02318603453019996,-8.0,-2.8999999999999986,0.6666666666666003,1.7000000000000028
392,Malta,2012,9.40697935369072,6.96359706060348,10.676598125728,63.0,55.8,70.1666666666667,74.0333333333333,4.14313472639153,4.02177386938727,4.25087336445433,4.30451544223227,0.02737314705828986,0.01729164987901921,0.022823781053601166,2.0,4.649999999999999,0.1333333333333968,-0.16666666666669983
393,Malta,2013,9.38287024988186,6.99046256263041,10.6981975610102,65.5,52.65,68.9666666666667,77.2666666666667,4.18205014264121,3.96366623857998,4.23362329608339,4.34726264223754,-0.024109103808859444,0.026865502026930166,0.021599435282199764,2.5,-3.1499999999999986,-1.2000000000000028,3.233333333333391
394,Malta,2014,9.42257802900062,7.01529916168317,10.7226142519247,65.4,55.45,64.9,75.9333333333333,4.18052225846315,4.01548171379638,4.17284762371004,4.32985576234497,0.039707779118760556,0.024836599052759922,0.024416690914499384,-0.09999999999999432,2.8000000000000043,-4.066666666666691,-1.3333333333333997
395,Malta,2015,9.5926316728349,7.03971231978605,10.7834962387334,65.5,53.75,66.1333333333333,76.0,4.18205014264121,3.98434366700777,4.19167290618266,4.33073334028633,0.17005364383427946,0.02441315810288014,0.06088198680870072,0.09999999999999432,-1.7000000000000028,1.2333333333332916,0.06666666666670551
396,Malta,2016,9.61058726646273,7.09738237304149,10.8328440502392,62.5,55.2,66.2,77.6666666666667,4.13516655674236,4.01096295328305,4.19268046294296,4.35242616489759,0.01795559362783017,0.057670053255439946,0.04934781150579859,-3.0,1.4500000000000028,0.06666666666670551,1.6666666666666998
397,Malta,2017,9.64180656044427,7.11222109184365,10.8695228718498,61.4,64.2666666666667,67.7333333333333,77.3333333333333,4.1174098351531,4.16304109350834,4.21557842703622,4.3481250829982,0.031219293981539664,0.014838718802160145,0.03667882161060021,-1.1000000000000014,9.066666666666691,1.533333333333303,-0.33333333333339965
398,Malta,2018,9.74070572083554,7.1529952195224,10.9031907404809,60.2666666666667,68.5666666666667,67.9666666666667,77.3,4.09877915928997,4.2278065079908,4.2190173889123,4.34769395559338,0.09889916039127122,0.040774127678750105,0.03366786863110072,-1.1333333333332973,4.300000000000011,0.23333333333339112,-0.03333333333330302
399,Malta,2019,9.74887307702123,7.19610766590546,10.939184909322,56.8333333333333,71.6,68.8666666666667,77.0,4.04012300805546,4.2710950739666,4.23217226801743,4.34380542185368,0.0081673561856892,0.04311244638306011,0.03599416884109985,-3.433333333333401,3.033333333333289,0.9000000000000057,-0.29999999999999716
401,Netherlands,2001,13.4412441991249,10.5537148768137,14.9680718138529,90.0,31.7,77.85,86.0,4.49980967033027,3.45631668088324,4.35478389828001,4.45434729625351,0.013279420000900544,0.015162420824299971,0.02497445660869957,0.0,-0.7500000000000036,2.3999999999999915,6.733333333333306
402,Netherlands,2002,13.4452274595204,10.5519749900807,14.988503822753,89.5,41.45,77.3,86.5333333333334,4.49423862528081,3.7244878815813,4.34769395559338,4.46052969616183,0.003983260395498789,-0.0017398867330005174,0.020432008900099774,-0.5,9.750000000000004,-0.5499999999999972,0.5333333333334025
403,Netherlands,2003,13.4467501097754,10.5453054050158,15.0067899515416,89.0,39.75,76.4,87.1333333333333,4.48863636973214,3.68260984110034,4.33598269617248,4.46743951252201,0.0015226502549996468,-0.006669585064900119,0.01828612878860092,-0.5,-1.7000000000000028,-0.8999999999999915,0.5999999999998948
404,Netherlands,2004,13.4661387914996,10.5536976129654,15.0241338234424,90.0,38.75,76.6,86.6,4.49980967033027,3.65713075579936,4.33859707674655,4.46129981556839,0.01938868172419994,0.008392207949601271,0.017343871900799,1.0,-1.0,0.19999999999998863,-0.533333333333303
405,Netherlands,2005,13.5936777878259,10.5569651896858,15.0421949618121,89.5,36.85,72.1,86.7333333333333,4.49423862528081,3.60685561863535,4.2780540442909,4.4628382774103,0.12753899632630095,0.0032675767203986794,0.018061138369700913,-0.5,-1.8999999999999986,-4.5,0.13333333333331154
406,Netherlands,2006,13.6195559672328,10.5830692050591,15.0627800254132,88.5,38.55,79.0,87.4666666666667,4.48300255201388,3.65195610000934,4.36944785246702,4.47125776840182,0.025878179406900514,0.02610401537330098,0.020585063601100018,-1.0,1.6999999999999957,6.900000000000006,0.7333333333333911
407,Netherlands,2007,13.6866680837315,10.6170768653463,15.0896473165735,88.0,41.85,79.4333333333333,85.5333333333334,4.47733681447821,3.73409179693548,4.37491809543659,4.44890616351343,0.06711211649869853,0.034007660287199926,0.026867291160298734,-0.5,3.3000000000000043,0.4333333333332945,-1.9333333333332945
408,Netherlands,2008,13.7270469679326,10.6366493029623,15.1120868995862,88.5,44.8864,80.2556520266667,88.6666666666667,4.48300255201388,3.80413485354322,4.38521718976887,4.48488402011359,0.04037888420110036,0.01957243761600047,0.022439583012701547,0.5,3.0364000000000004,0.8223186933334006,3.1333333333332973
409,Netherlands,2009,13.6395105033064,10.6244775856195,15.1282605510425,90.0,43.54935,78.9512595533333,88.6,4.49980967033027,3.77389477781399,4.36883069438482,4.48413185761104,-0.0875364646261989,-0.012171717342800648,0.0161736514562989,1.5,-1.337050000000005,-1.3043924733333938,-0.06666666666670551
410,Netherlands,2010,13.6451746109227,10.6196442104907,15.1402842870891,89.5,45.2,74.2333333333333,85.8333333333333,4.49423862528081,3.81109708683819,4.30721328559521,4.45240743143568,0.005664107616299319,-0.004833375128800554,0.012023736046600675,-0.5,1.650650000000006,-4.717926219999995,-2.766666666666694
411,Netherlands,2011,13.6687434585444,10.6314908542417,15.1536759720102,89.5,43.7,74.3,85.8666666666667,4.49423862528081,3.77734810210154,4.30811095172371,4.45279570556209,0.023568847621699973,0.011846643751001196,0.013391684921099767,0.0,-1.5,0.0666666666666913,0.03333333333340249
412,Netherlands,2012,13.6924290178044,10.6263211196068,15.1627819721474,89.0,36.05,75.1666666666667,85.7,4.48863636973214,3.58490686373096,4.31970787027462,4.45085282560373,0.02368555926000049,-0.005169734634900891,0.009106000137199644,-0.5,-7.650000000000006,0.8666666666667027,-0.16666666666669983
413,Netherlands,2013,13.7382181169213,10.6217701270929,15.1704688466713,89.5,38.4,74.2333333333333,85.6,4.49423862528081,3.64805745959368,4.30721328559521,4.4496852831477,0.04578909911689877,-0.004550992513900454,0.007686874523900045,0.5,2.3500000000000014,-0.933333333333394,-0.10000000000000853
414,Netherlands,2014,13.6903004472406,10.6320325773748,15.176627549487,89.0,38.65,76.4,85.9333333333333,4.48863636973214,3.65454677503343,4.33598269617248,4.45357180183698,-0.04791766968069844,0.01026245028189976,0.006158702815699968,-0.5,0.25,2.1666666666667,0.3333333333333002
415,Netherlands,2015,13.6821194412149,10.644137731199,15.1949006611303,86.5,37.8,76.8,86.0,4.46014441393783,3.63230910262554,4.34120464015363,4.45434729625351,-0.008181006025701265,0.012105153824201409,0.0182731116432997,-2.5,-0.8500000000000014,0.3999999999999915,0.06666666666670551
416,Netherlands,2016,13.680201371715,10.6687787590504,15.2064913774539,86.5,43.55,75.8,86.0,4.46014441393783,3.77390970329851,4.32809829264833,4.45434729625351,-0.0019180694998990333,0.02464102785140021,0.011590716323601313,0.0,5.75,-1.0,0.0
417,Netherlands,2017,13.7355214217724,10.6926900688135,15.2204429865212,81.0,57.7333333333333,78.8333333333333,85.6666666666667,4.39444915467244,4.05583470746023,4.36733591926388,4.45046379622711,0.05532005005740004,0.023911309763098743,0.01395160906729842,-5.5,14.183333333333302,3.033333333333303,-0.3333333333333002
418,Netherlands,2018,13.7503736578337,10.7188048318291,15.2358457928495,82.6666666666667,59.9333333333333,76.5,85.6333333333333,4.41481645749687,4.09323283336941,4.33729074083249,4.45007461544773,0.014852236061299706,0.026114763015600673,0.015402806328300045,1.6666666666666998,2.200000000000003,-2.3333333333333,-0.03333333333340249
419,Netherlands,2019,13.7642992996854,10.7418143478742,15.2528473371126,83.9333333333333,62.6,75.2333333333333,85.3333333333333,4.43002283294214,4.13676527810605,4.32059439515538,4.44656515581145,0.01392564185169931,0.023009516045100042,0.017001544263100854,1.2666666666665947,2.6666666666667,-1.2666666666666941,-0.29999999999999716
421,Norway,2001,12.4560179859962,9.32436831198121,13.7760036225517,89.5,46.6,75.15,60.3333333333333,4.49423862528081,3.8416005411316,4.31948611619898,4.09988474259772,0.01218975431099878,-0.00914748218037964,0.022380963435900014,-0.5,-3.0,-0.04999999999999716,-6.6666666666667
422,Norway,2002,12.4190638987222,9.31348061203563,13.7966490779819,90.5,46.5,74.65,60.9333333333333,4.50534985070588,3.83945231259331,4.3128105239852,4.10978037035194,-0.03695408727399929,-0.01088769994558092,0.020645455430200244,1.0,-0.10000000000000142,-0.5,0.6000000000000014
423,Norway,2003,12.4925662776915,9.29204078308241,13.816062909041,88.0,46.15,77.05,60.9333333333333,4.47733681447821,3.83189696094886,4.34445456176613,4.10978037035194,0.0735023789692999,-0.02143982895321983,0.019413831059098996,-2.5,-0.3500000000000014,2.3999999999999915,0.0
424,Norway,2004,12.558334083012,9.31276124866179,13.8402142663103,87.5,41.25,78.15,60.6,4.47163879336357,3.71965111278069,4.35863005686749,4.10429489307527,0.0657678053204993,0.02072046557938023,0.024151357269300178,-0.5,-4.899999999999999,1.1000000000000085,-0.3333333333333002
425,Norway,2005,12.7752668776386,9.33151696309555,13.8698168978986,89.0,39.35,68.2666666666667,61.2,4.48863636973214,3.67249597486341,4.22342160449724,4.11414718951828,0.21693279462660087,0.018755714433760673,0.029602631588300454,1.5,-1.8999999999999986,-9.883333333333312,0.6000000000000014
426,Norway,2006,12.8611732733406,9.36558410497101,13.9026963644328,89.5,42.85,76.9,61.4,4.49423862528081,3.75770564504379,4.3425058765116,4.1174098351531,0.08590639570200054,0.03406714187545923,0.03287946653419915,0.5,3.5,8.633333333333312,0.19999999999999574
427,Norway,2007,12.8773971050904,9.41398280941764,13.9412744624772,89.5,44.1,74.2,63.0666666666667,4.49423862528081,3.7864597824528,4.30676415017333,4.14419236794967,0.0162238317497998,0.04839870444662964,0.03857809804440038,0.0,1.25,-2.700000000000003,1.6666666666666998
428,Norway,2008,13.0058589146501,9.45155136932084,13.9766342066116,89.0,48.31165,71.5773385366667,65.4,4.48863636973214,3.87767273240244,4.27077852298508,4.18052225846315,0.128461809559699,0.037568559903201404,0.03535974413440002,-0.5,4.211649999999999,-2.6226614633333014,2.3333333333333073
429,Norway,2009,12.8369512267297,9.43970581391189,14.0042128313849,88.5,50.4256,71.59077238,69.7333333333333,4.48300255201388,3.92049898262918,4.2709661882869,4.24467844352266,-0.16890768792039879,-0.011845555408950048,0.027578624773299865,-0.5,2.1139500000000027,0.013433843333302775,4.3333333333333
430,Norway,2010,12.9192470758284,9.44897463404473,14.0256047479246,84.5,50.15,70.0333333333334,71.4,4.43675153436313,3.91501851440794,4.24897131918285,4.26829786934554,0.08229584909869914,0.009268820132838584,0.021391916539700517,-4.0,-0.2756000000000043,-1.5574390466666017,1.6666666666666998
431,Norway,2011,13.0142144638872,9.46924916283722,14.0502054348874,88.0,51.55,69.7333333333333,71.4666666666667,4.47733681447821,3.94255221046297,4.24467844352266,4.26923114052854,0.09496738805879978,0.020274528792491253,0.024600686962800822,3.5,1.3999999999999986,-0.30000000000009663,0.0666666666666913
