Index,country,year,rgdpo,Lnrgdpo,labor_stock,capital_stock,capital_labor_ratio,Lncap_lab_ratio,Overall_Score,Property_Rights,Judicial_Effectiveness,Government_Integrity,Rule_of_law,Tax_Burden,Government_Spending,Fiscal_Health,Government_size,Business_Freedom,Labor_Freedom,Monetary_Freedom,Regulatory_efficiency,Trade_Freedom,Investment_Freedom,Financial_Freedom,Market_openness
324,Latvia,2004,33193.8515625,10.4101199438535,5335.10287420244,340974.51227281,63.9115159187597,4.15749956296717,67.4,50,,37,43.5,82.2,62.2,,72.2,70,,85.8,77.9,79.8,70,70,73.2666666666667
325,Latvia,2005,37609.6796875,10.5350167347437,5504.99384153062,350375.512636369,63.6468491559565,4.15334982112229,66.3,50,,38,44,83.6,52.7,,68.15,70,63.5,84.8,72.7666666666667,80,70,70,73.3333333333333
326,Latvia,2006,39778.3125,10.5910771306937,5834.78709477527,360038.394520472,61.7054896215265,4.12237289974971,66.9,50,,40,45,83.5,51,,67.25,75,66.6,80.8,74.1333333333333,82.4,70,70,74.1333333333333
327,Latvia,2007,43205.10546875,10.6737139493962,5968.55143337491,371604.925982519,62.2604881822046,4.13132700600753,67.9,50,,42,46,83.9,61.3,,72.6,74.5,66.9,74.2,71.8666666666667,86.6,70,70,75.5333333333333
328,Latvia,2008,45639.49609375,10.7285287630244,6325.30865999294,379700.432656375,60.0287595541304,4.09482377328431,68.31869033,55,,47,51,83.3775,59.1517,,71.2646,74.76265671,64.1,73.83439385,70.8990168533333,86,70,70,75.3333333333333
329,Latvia,2009,39659.46484375,10.5880849083809,5328.25941885389,381505.3949311,71.6003792122347,4.27110037021284,66.60205967,55,,48,51.5,82.2584,58.4848,,70.3716,73.79661881,61.6,71.08371464,68.8267778166667,85.8,70,60,71.9333333333333
330,Latvia,2010,40952.0234375,10.6201565004536,4994.34208497451,380851.118817479,76.25651433915,4.33410284579431,66.2,55,,50,52.5,82.7,57.4,,70.05,72.9,59.1,67,66.3333333333333,87.5,80,50,72.5
331,Latvia,2011,44953.77734375,10.7133900707128,5168.3577648582,382942.657073082,74.0936820738044,4.30533026650513,65.8,50,,45,47.5,82.5,55.5,,69,72.8,61.3,73.5,69.2,87.6,80,50,72.5333333333333
332,Latvia,2012,46669.96484375,10.7508560856492,5222.33597763109,386704.857061467,74.0482532563676,4.30471695173022,65.2,50,,43,46.5,84.3,43.8,,64.05,75.9,59.1,79.1,71.3666666666667,87.1,80,50,72.3666666666667
333,Latvia,2013,46382.71875,10.7446822281083,5343.29873717558,389166.187437567,72.8325715217781,4.28816326615761,66.5,50,,42,46,84.4,53.6,,69,75.7,64.4,78.3,72.8,86.8,80,50,72.2666666666667
334,Latvia,2014,47728.140625,10.7732764531339,5312.5559661619,391532.19826427,73.6994020878307,4.29999468637854,68.7,50,,43.6,46.8,84.6,54.9,,69.75,82.5,68.5,79.7,76.9,87.8,85,50,74.2666666666667
335,Latvia,2015,49375.71875,10.8072140590595,5290.8826240256,393645.654881144,74.4007536840113,4.30946607194918,69.7,50,,53,51.5,84.4,59.2,,71.8,82.1,61.5,83.8,75.8,88,85,50,74.3333333333333
